ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
N00266,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE02SHSM,CE02SHSM-00002,,,,
N00267,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE06ISSM,CE06ISSM-00003,,,327912.39,
N00268,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00001,,,,
N00269,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00002,,,,
N00270,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00003,,,,
N00271,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE07SHSM,CE07SHSM-00002,,,,
N00272,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE07SHSP,CE07SHSP-00001,,,,
N00273,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01SHSP,CE07SHSP-00002,,,,
N00274,Platform,0,MOORING ENDURANCE PROFILER,WHOI,CE09OPSM,CE09OSPM-00004,,,,
N00275,Platform,0,MOORING ENDURANCE OS SURFACE,WHOI,CE09OSSM,CE09OSSM-00002,,,,
N00277,Platform,1,CP05MOAS Glider Master Platform,,CP05MOAS,CP05MOAS,,,,
N00278,Platform,1,GA05MOAS Glider Master Platform,,GA05MOAS,GA05MOAS,,,,
N00279,Platform,1,GI05MOAS Glider Master Platform,,GI05MOAS,GI05MOAS,,,,
N00280,Platform,1,GP05MOAS Glider Master Platform,,GP05MOAS,GP05MOAS,,,,
N00281,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LJ01C,SN0008,,,,
N00282,Platform,1,GS05MOAS Glider Master Platform,,GS05MOAS,GS05MOAS,,,,
N00283,Platform,1,CE05MOAS Glider Master Platform,,CE05MOAS,CE05MOAS,,,,
N00284,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LV01C,SN0045,,,,
N00285,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHSP,CE02SHSP-00001,,,,
N00286,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHSP,CE02SHSP-00002,,,,
N00289,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHBP-MJ01C,SN0025,,,,
N00298,Platform,0,MOORING RSN,,RS01SUM1-PN01B,,,,,
N00299,Platform,0,MOORING RSN,,RS01SUM2-MJ01B,SN0024,,,,
N00356,Platform,0,MOORING RSN,,RS03ASHS-ID03A,RS03ASHS-ID03A-00001,,,,
N00357,Platform,0,MOORING RSN,,RS03ASPI-PN03B,SN003A,,,,
OL000028,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GA03FLMA,GA03FLMA-00002,,,,
OL000032,Platform,0,HYBRID PROFILER SOUTHERN,WHOI,HYBRID,GS02HYPM-00002,,,698400,
OL000033,Platform,0,MOORING MESCALE FLANKING A SOUTHERN,WHOI,GS03FLMA,GS03FLMA-00002,,,35611.94,
OL000048,Platform,0,MOORING Argentine OS,WHOI,GA02HYPM,GA02HYPM-00002,,,,
OL000063,Platform,0,MOORING SOUTHERN OS,WHOI,GS01SUMO,GS01SUMO-00002,,,,
