ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO
CGINS-SPKIRB-00295,A01676,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),295,,20150716,13982.12,,
CGINS-SPKIRB-00296,A01677,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),296,,20150716,13982.12,,
CGINS-SPKIRB-00297,A01678,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),297,,20150716,13982.12,,
CGINS-SPKIRB-00298,A01679,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),298,,20150716,13982.12,,
CGINS-SPKIRB-00299,A01660,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),299,,20150731,13982.12,,
CGINS-SPKIRB-00300,A01661,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),300,,20150731,13982.12,,
CGINS-SPKIRB-00301,OL000259,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),301,,20150731,13982.12,,
CGINS-SPKIRB-00302,A01663,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),302,,20150731,13982.12,,
CGINS-SPKIRJ-00237,N00592,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-001,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),237,,20130630,13316.36,,Oregon State University
CGINS-SPKIRJ-00252,OL000614,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-006,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),252,,20140929,13316.36,also N00600,Oregon State University
CGINS-SPKIRJ-00263,N00568,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-004,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),263,,20140801,13316.36,,
CGINS-SPKIRJ-00264,N00584,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-002,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),264,,20140630,13316.36,,Oregon State University
CGINS-SPKIRJ-00265,N00560,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-005,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),265,,20140801,13316.36,,
CGINS-SPKIRJ-00266,N00576,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-003,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),266,,20140616,13316.36,,Oregon State University
CGINS-SPKIRJ-00281,,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-007,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),281,,20161230,,,Oregon State University
CGINS-SPKIRJ-00282,,Sensor,0,Spectral Irradiance: SPKIR Series J,SPKIR for WLP-008,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),282,,20161230,,,Oregon State University
CGINS-VEL3DC-08181,A00060,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D SERIES C (VECTOR),Nortek,VECTOR,8181,,20120828,15960,,
CGINS-VEL3DC-12587,A01621,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D SERIES C (VECTOR W/PROLO,Nortek,VECTOR,12587,,20150430,16605,,
CGINS-VEL3DC-12595,A01622,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D SERIES C (VECTOR W/PROLO,Nortek,VECTOR,12595,,20150430,16605,,
CGINS-VEL3DD-08158,A00247,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,8158,,20130109,19515,,
CGINS-VEL3DD-09668,A00061,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,9668,,20120913,19515,,
CGINS-VEL3DD-11084,A01028,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,11084,,20140303,19089,,
CGINS-VEL3DD-11090,A01027,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,11090,,20140303,19089,,
CGINS-VEL3DD-11707,A01029,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,11707,,20140303,19089,,
CGINS-VEL3DD-11710,A01030,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLOG),Nortek,VECTOR,11710,,20140303,19089,,
CGINS-VEL3DD-12264,A01619,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLO,Nortek,VECTOR,12264,,20141120,19471,,
CGINS-VEL3DD-12266,A01620,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLO,Nortek,VECTOR,12266,,20141120,19471,,
CGINS-VEL3DD-12604,A01624,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLO,Nortek,VECTOR,12604,,20150430,19471,,
CGINS-VEL3DD-12607,A01623,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series D,VEL3D SERIES D (VECTOR W/PROLO,Nortek,VECTOR,12607,,20150430,19471,,
CGINS-VEL3DK-00003,N00013,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12936-01,Nortek,Aquadopp,100003,,20130122,,,
CGINS-VEL3DK-00011,N00076,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12991-05,Nortek,Aquadopp,100011,,20130510,,,
CGINS-VEL3DK-00012,N00006,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12714-01,Nortek,Aquadopp,100012,,20110617,,,
CGINS-VEL3DK-00013,N00041,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12991-02,Nortek,Aquadopp,100013,,20150604,,,
CGINS-VEL3DK-00014,N00055,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12991-03,Nortek,Aquadopp,100014,,20130426,,,
CGINS-VEL3DK-00015,N00027,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12991-01,Nortek,Aquadopp,100015,,20150713,92259.49,,
CGINS-VEL3DK-00017,N00069,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12991-04,Nortek,Aquadopp,100017,,20130510,,,
CGINS-VEL3DK-00022,N00020,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML12936-01,Nortek,Aquadopp,100022,,20130122,,,
CGINS-VEL3DK-00033,N00104,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML13103-04,Nortek,Aquadopp,100033,,20140128,,,
CGINS-VEL3DK-00034,N00111,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML13103-05,Nortek,Aquadopp,100034,,20140128,,,
CGINS-VEL3DK-00035,N00083,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML13103-01,Nortek,Aquadopp,100035,,20140128,,,
CGINS-VEL3DK-00036,N00097,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML13103-03,Nortek,Aquadopp,100036,,20140128,,,
CGINS-VEL3DK-00037,N00090,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML13103-02,Nortek,Aquadopp,100037,,20140128,,,
CGINS-VEL3DK-00212,,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,,Nortek,Aquadopp,100212,,,,,
CGINS-VEL3DK-00468,,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,,Nortek,Aquadopp,100468,,20170627,,,Woods Hole Oceanographic Institution
CGINS-VEL3DK-00470,,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,,Nortek,Aquadopp,100470,,20170627,,,Woods Hole Oceanographic Institution
CGINS-VEL3DK-00475,,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series K,VEL3D for WFP Coastal ML14378-01,Nortek,Aquadopp,100475,,20170907,,,Oregon State University
