ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00556,A00556,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46269,,20131104,12180,
A00557,A00557,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46265,,20131104,12180,
A00558,A00558,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46261,,20131104,12180,
A00559,A00559,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46264,,20131104,12180,
A00560,A00560,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46268,,20131104,12180,
A00561,A00561,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46267,,20131104,12180,
A00562,A00562,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46262,,20131104,12180,
A00563,A00563,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46281,,20150604,12180,
A00564,A00564,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46283,,20150604,12180,
A00565,A00565,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46284,,20131104,12180,
A00574,A00574,,,SEACYCLER REFURBISHMENT,SEACYCLER REFURBISHMENT,ROLLS ROYCE,REFURBISHED,MAILED TAG 12/6   N/A,,20130425,183425,
A00586,A00586,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-481-995,,20131216,0,
A00587,A00587,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-481-987,,20131216,0,
A00588,A00588,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-481-979,,20131216,0,
A00589,A00589,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-481-961,,20131216,0,
A00590,A00590,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-481-953,,20131216,0,
A00591,A00591,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-509-381,,20131216,0,
A00592,A00592,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-509-787,,20131216,0,
A00593,A00593,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-509-795,,20131216,0,
A00594,A00594,,,DISA SIM CARD,DISA SIM CARD,DISA,SIM,89-88-169-312-003-509-803,,20131216,0,
A00596,A00596,,,30' STRETCH HOSE,30' STRETCH HOSE,EOM OFFSHORE,EOM 241-5-0924,TAS05,,20131217,21480.4,
A00597,A00597,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-241-5-1524,TAS06,,20131217,21450.4,
A00598,A00598,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-241+5-1524,TAS02,,20131217,22159.4,
A00618,A00618,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-171-4-1002,TAS 05,,20131021,13129.4,
A00619,A00619,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-171-4-1002,TAS 08,,20131021,13129.4,
A00620,A00620,,,100' STRETCH HOSE,100' STRETCH HOSE,EOM OFFSHORE,EOM-241-5-3024,TAS 09,,20131021,22273.9,
A00621,A00621,,,100' STRETCH HOSE,100' STRETCH HOSE,EOM OFFSHORE,EOM-241-5-3024,TAS10,,20131021,22273.9,
A00622,A00622,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-171-4-1002,TAS05,,20131104,13129.4,
