ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00623,A00623,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-171-4-1002,TAS06,,20150604,13129.4,
A00624,A00624,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,EOM-171-4-1002,TAS07,,20131104,13129.4,
A00625,A00625,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,,TAS08,,20140123,13129.4,"1/14/2014 REC'D PACKING SLIP, ENTERED RECORD, TAG ON SITE, SENT OUT E-MAIL. PH Missing From Inventory1/23/2013 NOTIFIED ON THIS DATE THAT THIS WAS DESTROYED AT SEA. LTDD #324. PH"
A00633,A00633,,,REMOTE RELEASE,REMOTE RELEASE,EdgeTech,7639,48242,,20140122,8100,
A00634,A00634,,,REMOTE RELEASE,REMOTE RELEASE,EdgeTech,7639,48243,,20131127,8100,
A00651,A00651,,,,,,,,,,,Missing from inventory
A00652,A00652,,,,,,,,,,,Missing from inventory
A00653,A00653,,,,,,,,,,,Missing from inventory
A00654,A00654,,,,,,,,,,,Missing from inventory
A00701,A00701,,,WINCH  IR EU,WINCH  IR EU,INGERSOLL RAND,WINCH IR EU,24872,,20140217,14855,
A00702,A00702,,,WINCH IR EU,WINCH IR EU,INGERSOLL RAND,WINCH IR EU,24873,,20140219,14855,
A00741,A00741,,,65' STRETCH HOSE,65' STRETCH HOSE,EOM OFFSHORE,241-5-1924,TAS029,,20140311,21470,Missing from inventory
A00742,A00742,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,TAS019,,20140311,13129.4,
A00743,A00743,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,22,,20140311,13129.4,
A00744,A00744,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,24,,20140311,13129.4,
A00745,A00745,,,50' STRETCH HOSE,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,TAS023,,20140311,13129.4,
A00760,A00760,,,"FLOAT, ANCHOR RECOVERY","FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAS,,20140324,8893.33,
A00763,A00763,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46285,,20140314,12180,
A00764,A00764,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46286,,20150604,12180,
A00765,A00765,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46288,,20140314,12180,
A00766,A00766,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46289,,20140314,12180,
A00767,A00767,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46291,,20150604,12180,
A00768,A00768,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46292,,20150604,12180,
A00769,A00769,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46293,,20140314,12180,
A00770,A00770,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46294,,20150604,12180,
A00771,A00771,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46249,,20140314,11070,
A00772,A00772,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48495,,20140314,11070,
A00773,A00773,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48496,,20140314,11070,
A00774,A00774,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48497,,20140314,11070,
A00775,A00775,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48498,,20140314,11070,
A00776,A00776,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48484,,20150604,11070,
A00777,A00777,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48500,,20140314,11070,
A00778,A00778,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48501,,20140314,11070,
A00779,A00779,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48502,,20140314,11070,
A00780,A00780,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48503,,20140314,11070,
A00781,A00781,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48504,,20140314,11070,
A00782,A00782,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48505,,20140314,11070,
A00783,A00783,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48506,,20140314,11070,
A00784,A00784,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48507,,20140314,11070,
A00785,A00785,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48508,,20140314,11070,
A00786,A00786,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48509,,20140314,11070,
A00787,A00787,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48510,,20140314,11070,
A00788,A00788,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48511,,20140314,11070,
A00789,A00789,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46272,,20140314,11070,
A00790,A00790,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46273,,20140314,11070,
A00791,A00791,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46274,,20140314,11070,
A00792,A00792,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48512,,20140314,11070,
A00810,A00810,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,62970,,20140331,7500,
A00811,A00811,,,TAKEUP MACHINE,TAKEUP MACHINE,REEL O MATIC,HJK3N TAKE UP,1326534,,20140417,20980,
A00812,A00812,,,PAY OUT MACHINE,PAY OUT MACHINE,REEL O MATIC,HJ PAYOUT,29905-D14,,20140417,11683.38,
A00814,A00814,,,"FLOAT, ANCHOR RECOVERY","FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAGONSITE,,20140423,8893.33,
A00815,A00815,,,"FLOAT, ANCHOR RECOVERY","FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAGONSITE,,20140423,8893.33,
A00817,A00817,,,STRETCH HOSE 100',STRETCH HOSE 100',EOM OFFSHORE,EOM-240-5-3024,TAS012,,20140407,22273.9,
A00818,A00818,,,STRETCH HOSE 50',STRETCH HOSE 50',EOM OFFSHORE,OEM-171-4-1002,TAS020,,20140407,13129.4,
A00819,A00819,,,STRETCH HOSE 50',STRETCH HOSE 50',EOM OFFSHORE,EOM-171-4-1002,TAS021,,20140407,13159.4,
A00820,A00820,,,STRETCH HOSE 50',STRETCH HOSE 50',EOM OFFSHORE,EOM-241-5-1524,TAS008,,20140407,22159.4,
A00821,A00821,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-225,,20130429,0,not on osu list
A00822,A00822,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-233,,20130429,0,not on osu list
A00823,A00823,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-241,,20130429,0,not on osu list
A00824,A00824,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-258,,20130429,0,not on osu list
A00825,A00825,,,BLOCK SNATCH MODIFIED,BLOCK SNATCH MODIFIED,AW NIEMEYER GMBH,4501369,NA,,20140509,8740.27,
A00826,A00826,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63162,,20140331,7500,
A00827,A00827,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63163,,20140428,7500,
A00828,A00828,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63165,,20140428,7500,
A00829,A00829,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63167,,20140428,7500,
A00830,A00830,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63161,,20140331,7500,
A00831,A00831,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63164,,20140428,7500,
A00832,A00832,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63166,,20140428,7500,
A00833,A00833,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63168,,20140428,7500,
A00834,A00834,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,62919,,20140327,7500,
A00839,A00839,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-167,,20130320,0,LOST AT SEA
A00840,A00840,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-159,,20150623,0,LOST AT SEA
A00841,A00841,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-175,,20130320,0,
A00842,A00842,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-183,,20150707,0,LOST AT SEA
A00843,A00843,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-191,,20130320,0,LOST AT SEA
A00844,A00844,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-191,,20130320,0,
A00845,A00845,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-217,,20130320,0,
A00904,A00904,,,,,,,,,20140714,13013.52,
A00918,A00918,,,RELEASE ACOUSTIC,RELEASE ACOUSTIC,EdgeTech,7639,TASETN49311,,20140801,16200,
A00919,A00919,,,RELEASE ACOUSTIC,RELEASE ACOUSTIC,EdgeTech,REMOTE RELEASE,TASETN49312,,20140801,16200,
A00974,A00974,,,REMOTE RELEASES,REMOTE RELEASES,EdgeTech,ASSY TOP PORT LF,ETN48296,,20140818,16200,
A00975,A00975,,,REMOTE RELEASES,REMOTE RELEASES,EdgeTech,ASSY TOP PORT LF,ETN48299,,20140818,16200,
A00980,A00980,,,,,,,,,,,Missing from inventory
A00981,A00981,,,,,,,,,,,Missing from inventory
A00982,A00982,,,,,,,,,,,Missing from inventory
A00983,A00983,,,,,,,,,,,Missing from inventory
A00984,A00984,,,,,,,,,,,Missing from inventory
A00985,A00985,,,,,,,,,,,Missing from inventory
A00986,A00986,,,,,,,,,,,Missing from inventory
A00987,A00987,,,,,,,,,,,Missing from inventory
A00988,A00988,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48512,,20140314,11070,
A00989,A00989,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48512,,20140314,11070,
A00990,A00990,,,,,,,,,,,Missing from inventory
A00991,A00991,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,48512,,20140314,11070,
A01010,A01010,,,OPEN OCEAN GLIDER 1000M,OPEN OCEAN GLIDER 1000M,TELEDYNE,,486,,20140825,171195,Missing from inventory
A01074,A01074,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-603,,20140814,0,
A01075,A01075,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-611,,20140814,0,
A01076,A01076,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-629,,20140814,0,
A01077,A01077,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-534-686,,20150623,0,SCRAPPED
A01078,A01078,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-534-694,,20150707,0,LOST AT SEA
A01079,A01079,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-702,,20140826,0,
A01102,A01102,,,PORT LF PUSH OFF RELEASE,PORT LF PUSH OFF RELEASE,EdgeTech,PORT LF,TAS49438,,20141001,6500,
A01103,A01103,,,PORT LF PUSH OFF RELEASE,PORT LF PUSH OFF RELEASE,EdgeTech,PORT LF,TAS49439,,20141001,6500,
A01104,A01104,,,PORT LF PUSH OFF RELEASE,PORT LF PUSH OFF RELEASE,EdgeTech,PORT LF,TAS49440,,20141001,6500,
A01105,A01105,,,PORT LF PUSH OFF RELEASE,PORT LF PUSH OFF RELEASE,EdgeTech,PORT LF,TAS49543,,20141001,6500,
A01161,A01161,,,,,,,,,,,Missing from inventory
A01162,A01162,,,,,,,,,,,Missing from inventory
A01163,A01163,,,,,,,,,,,Missing from inventory
A01164,A01164,,,,,,,,,,,Missing from inventory
A01165,A01165,,,,,,,,,,,Missing from inventory
A01166,A01166,,,,,,,,,,,Missing from inventory
A01167,A01167,,,,,,,,,,,Missing from inventory
A01168,A01168,,,,,,,,,,,Missing from inventory
A01169,A01169,,,,,,,,,,,Missing from inventory
A01170,A01170,,,,,,,,,,,Missing from inventory
A01171,A01171,,,,,,,,,,,Missing from inventory
A01172,A01172,,,,,,,,,,,Missing from inventory
A01173,A01173,,,,,,,,,,,Missing from inventory
A01174,A01174,,,,,,,,,,,Missing from inventory
A01175,A01175,,,,,,,,,,,Missing from inventory
A01176,A01176,,,,,,,,,,,Missing from inventory
A01177,A01177,,,,,,,,,,,Missing from inventory
A01178,A01178,,,,,,,,,,,Missing from inventory
A01179,A01179,,,,,,,,,,,Missing from inventory
A01180,A01180,,,,,,,,,,,Missing from inventory
A01185,A01185,,,HOSE STRETCH 100',HOSE STRETCH 100',EOM OFFSHORE,STRETCH 100,TAGONSITE,,20141125,22660.4,
A01186,A01186,,,HOSE STRETCH 100',HOSE STRETCH 100',EOM OFFSHORE,STRETCH 100,TAGONSITE,,20141125,22660.4,
A01193,A01193,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-282,,20140826,0,
A01194,A01194,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-266,,20140826,0,
A01200,A01200,,,GENERATOR 25KVA MULTIQUIP,GENERATOR 25KVA MULTIQUIP,MULTIQUIP,DCA25SSIU4GF,7150606,,20141210,22500,
A01211,A01211,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-637,,20140911,0,
A01212,A01212,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-534-678,,20140911,0,
A01213,A01213,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-274,,20141124,0,
A01214,A01214,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-290,,20141212,0,
A01215,A01215,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-308,,20141212,0,
A01225,A01225,,,CABLE 12-WAY X 545 METER MOLDED,CABLE 12-WAY X 545 METER MOLDED,TELEDYNE ODI,12 WAY X 545,WHO009011,,20141224,25664,
A01226,A01226,,,CABLE 12-WAY X 350 METER MOLDED,CABLE 12-WAY X 350 METER MOLDED,TELEDYNE ODI,12 X 350,WHOO9012,,20141224,25664,
A01239,A01239,,,STRETCH HOSE 100,STRETCH HOSE 100,EOM,EOM-241-5-3024,TAS053,,20150123,22273.9,
A01240,A01240,,,STRETCH HOSE 100,STRETCH HOSE 100,EOM,EOM-241-5-3024,TAS057,,20150123,22659.4,
A01241,A01241,,,STRETCH HOSE 100,STRETCH HOSE 100,EOM,EOM-241-5-3024,TAS059,,20150123,22659.4,
A01249,A01249,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-316,,20141212,0,RETURNED
A01250,A01250,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-942-087,,20150212,0,
A01251,A01251,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-942-079,,20150212,0,
A01252,A01252,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-940-602,,20150212,0,
A01253,A01253,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50159,,20150220,8100,
A01254,A01254,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50160,,20150220,8100,
A01255,A01255,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50161,,20150220,8100,
A01256,A01256,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50162,,20150220,8100,
A01257,A01257,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50163,,20150220,8100,
A01258,A01258,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50164,,20150202,8100,
A01259,A01259,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50165,,20140220,8100,
A01260,A01260,,,PORT LF W/ REMOTE RELEASE,PORT LF W/ REMOTE RELEASE,EdgeTech,7639,50166,,20140220,8100,
A01280,A01280,,,,,,,,,,,Missing from inventory
A01309,A01309,,,,,,,,,,,Missing from inventory
A01310,A01310,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,TASETN50467,,20150604,13050,
A01311,A01311,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,TASETN50468,,20150604,13050,
A01312,A01312,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,ETN50121,,20150330,12150,
A01313,A01313,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50211,,20150330,12150,
A01314,A01314,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50123,,20150330,12150,
A01315,A01315,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50124,,20150330,12150,
A01316,A01316,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50125,,20150330,12150,
A01317,A01317,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,TASETN50451,,20150330,12150,
A01318,A01318,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50452,,20150330,12150,
A01319,A01319,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50453,,20150330,12150,
A01320,A01320,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50454,,20150330,12150,
A01321,A01321,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50455,,20150330,12150,
A01322,A01322,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50456,,20150330,12150,
A01323,A01323,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50457,,20150330,12150,
A01324,A01324,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50458,,20150330,12150,
A01325,A01325,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50459,,20150330,12150,
A01326,A01326,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,TASETN50460,,20150330,12150,
A01327,A01327,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50461,,20150330,12150,
A01337,A01337,,,,,,,,,,,Missing from inventory
A01344,A01344,,,PCO2W SERIES C,PCO2W SERIES C,Sunburst Sensors,SAMI-CO2,C0120,,20150505,22405.38,multiple ooi_barcode and whoi asset tags for same serial number
A01358,A01358,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-941-998,,20150508,0,
A01367,A01367,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50466,,20150511,12150,
A01368,A01368,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50672,,20150511,12150,
A01369,A01369,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50673,,20150511,12150,
A01370,A01370,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50674,,20150511,12150,
A01371,A01371,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50675,,20150511,12150,
A01372,A01372,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50676,,20150511,12150,
A01373,A01373,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50677,,20150511,12150,
A01374,A01374,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50678,,20150511,12150,
A01375,A01375,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50679,,20150511,12150,
A01376,A01376,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50680,,20150511,12150,
A01377,A01377,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50681,,20150511,12150,
A01378,A01378,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50682,,20150511,12150,
A01379,A01379,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50683,,20150511,12150,
A01380,A01380,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50684,,20150511,12150,
A01381,A01381,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50685,,20150511,12150,
A01382,A01382,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50686,,20150511,12150,
A01383,A01383,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50687,,20150511,12150,
A01384,A01384,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50692,,20150511,13050,
A01385,A01385,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50693,,20150511,13050,
A01386,A01386,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50694,,20150511,13050,
A01387,A01387,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50695,,20150511,13050,
A01481,A01481,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50688,,20150611,13050,
A01482,A01482,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50690,,20150611,13050,
A01483,A01483,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50689,,20150611,13050,
A01484,A01484,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50691,,20150611,13050,
A01485,A01485,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50819,,20150611,12180,
A01486,A01486,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50820,,20150611,12180,
A01487,A01487,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50821,,20150611,12180,
A01488,A01488,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50776,,20150611,11070,
A01489,A01489,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50777,,20150611,11070,
A01490,A01490,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50778,,20150611,11070,
A01491,A01491,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,50779,,20150611,11070,
A01521,A01521,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66651,,20150623,10235,
A01522,A01522,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66652,,20150623,10235,
A01523,A01523,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66653,,20150624,10235,
A01524,A01524,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66654,,20150624,10235,
A01525,A01525,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66655,,20150624,10235,
A01526,A01526,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66656,,20150624,10235,
A01527,A01527,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66657,,20150624,10235,
A01528,A01528,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66658,,20150624,10235,
A01529,A01529,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE,ATM-965,66659,,20150624,10235,
A01608,A01608,,,SEA-BIRD TEMP & CON MODULE,SEA-BIRD TEMP & CON MODULE,STAR ENGINEERING,TEMP CON,TAS,,20150701,6133,
A01609,A01609,,,SEA-BIRD TEMP & CON MODULE,SEA-BIRD TEMP & CON MODULE,STAR ENGINEERING,TEMP CON,TAS,,20150701,6133,
