OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00057,ADCP SERIES B (WHM600-500),1,TELEDYNE RDI,WHM300-500,18493,,J100014,WHOI,UNV,OSU,A,20120826,22482,100%,,20120826,WHOI,115070,8/22/2012,OSU,324981,9/4/2015,DOI,
A00058,ADCP SERIES C (WHS300-500),1,TELEDYNE RDI,WHS300-500,17122,,J100014,WHOI,UNV,OSU,A,20120822,23895,100%,,20120822,WHOI,115071,8/22/2012,OSU,324982,9/4/2015,DOI,
A00059,VEL3D SERIES C (VECTOR),1,NORTEK,VECTOR,8159,,J100013,WHOI,UNV,OSU,A,20120828,15960,100%,,20120828,WHOI,115072,8/29/2012,OSU,324983,9/4/2015,DOI,
A00060,VEL3D SERIES C (VECTOR),1,NORTEK,VECTOR,8181,,J100013,WHOI,UNV,OSU,A,20120828,15960,100%,,20120828,WHOI,115073,8/29/2012,OSU,324984,9/4/2015,DOI,
A00061,VEL3D SERIES D (VECTOR W/PROLOG),1,NORTEK,VECTOR,9668,,J100013,WHOI,UNV,OSU,A,20120913,19515,100%,,20120913,WHOI,115074,9/13/2012,OSU,324985,9/4/2015,DOI,
A00062,PCO2W SERIES B (SAMI-CO2),1,Sunburst Sensors,SAMI-pCO2,C0050,54,J100015,WHOI,ATS,SEA,A,20120913,20600,100%,,20120913,WHOI,115076,,,,9/4/2015,DOI,
A00063,PCO2W  SERIES B (SAMI-CO2),1,Sunburst Sensors,SAMI-pCO2,C0051,,J100015,WHOI,LOSO,103,A,20120913,20600,100%,,20120913,WHOI,115077,,,,9/4/2015,DOI,
A00064,ADCP SERIES I (WHLM75-1500),1,TELEDYNE RDI,WHM75-1500,18153,,J100016,WHOI,UNV,OSU,A,20120914,46795.5,100%,,20120914,WHOI,115083,9/18/2012,OSU,324986,9/4/2015,DOI,
A00065,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,239,3.2.4,J100012,WHOI,LOSO,103,A,20120924,35182.98,100%,,20120924,WHOI,115084,,,,9/4/2015,DOI,
A00066,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,240,3.2.4,J100012,WHOI,LOSO,HIBA,A,20120924,35182.98,100%,,20120924,WHOI,115085,,,,9/4/2015,DOI,
A00067,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18352,,J100016,WHOI,ATS,SEA,A,20120928,51646.5,100%,,20120928,WHOI,115090,12/18/2012,SIO,,9/4/2015,DOI,
A00068,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18351,50.4,J100016,WHOI,LOSO,102,A,20120928,51646.5,100%,,20120928,WHOI,115091,12/18/2012,SIO,126000378,9/4/2015,DOI,
A00069,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18445,,J100016,WHOI,LOSO,HIBA,A,20121001,51646.5,100%,,20121001,WHOI,115092,,,,9/4/2015,DOI,
A00070,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18446,50.4,J100016,WHOI,LOSO,103,A,20120928,51646.5,100%,,20120928,WHOI,115093,,,,9/4/2015,DOI,
A00071,ADCP SERIES F (WHS150-1500),1,TELEDYNE RDI,WHS150-1500,18593,50.4,J100016,WHOI,ATS,SEA,A,20150604,35302.5,100%,,20150604,WHOI,115094,,,,9/4/2015,DOI,
A00072,ADCP SERIES F (WHS150-1500),1,TELEDYNE RDI,WHS150-1500,18594,50.4,J100016,WHOI,ATS,SEA,A,20150604,35302.5,100%,,20150604,WHOI,115095,,,,9/4/2015,DOI,
A00073,PCO2W SERIES B (SAMI-CO2),1,Sunburst Sensors,SAMI-CO2,C0052,,J100015,WHOI,UNV,OSU,A,20120924,20600,100%,,20120924,WHOI,115097,9/24/2012,OSU,325056,9/4/2015,DOI,
A00074,PCO2W SERIES B (SAMI-CO2),1,Sunburst Sensors,SAMI-CO2,C0053,,J100015,WHOI,UNV,OSU,A,20120924,20600,100%,,20120924,WHOI,115098,9/24/2012,OSU,325057,9/4/2015,DOI,
A00075,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18260,,J100016,WHOI,LOSO,202,A,20120925,51646.5,100%,,20120925,WHOI,115099,12/18/2012,SIO,126000380,9/4/2015,DOI,
A00076,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18261,,J100016,WHOI,ATS,SEA,A,20120925,51646,100%,Missing from SIO inventory,20120925,WHOI,115100,12/18/2012,SIO,126000381,9/4/2015,DOI,
A00077,ADCP SERIES L (WHLS75-1500-I),1,TELEDYNE RDI,WHLS75-1500-I,18353,,J100016,WHOI,ATS,SEA,A,20120925,51646.5,100%,,20120925,WHOI,115101,12/7/2012,SIO,126000382,9/4/2015,DOI,
A00078,COASTAL GLIDER 200M,1,TELEDYNE WEBB RESEARCH,CSG-0200,311,,J100005A,WHOI,UNV,OSU,A,20121002,186935,100%,,20121002,WHOI,115106,10/2/2012,OSU,324987,,,
A00079,COASTAL GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,CSG-1000,312,,J100005A,WHOI,UNV,OSU,A,20121002,186935,100%,,20121002,WHOI,115107,10/2/2012,OSU,324988,,,
A00080,WAVSS SERIES A (TRIAXYS NW),1,AXYS TECHNOLOGIES,TRIAXYX NW,4571,1.01.0682,J100022,WHOI,LOSO,202,A,20121031,22000,100%,,20121031,WHOI,115124,,,,9/4/2015,DOI,
