,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
848,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
851,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
854,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
857,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
859,GI01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
861,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
864,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
867,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
870,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
873,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
879,GS01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
883,GS01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(None, None)"
886,CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
889,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
892,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
894,CP03ISSM-RID27-03-CTDBPC000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
897,CP03ISSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
900,CP04OSSM-MFD37-03-CTDBPE000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
903,CP04OSSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
905,GA01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
907,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
