ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATAPL-68865-00001,,,,Flotation Tech Science Pod Float - Center,,Deep Water Bouyancy,68865,1,N/A,120904015,O.L.,UW,VISIONS2014:MJ01A,A,,7438,100%,,A,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00002,,,,SCIENCE POD FLOAT - CENTER,,Deep Water Bouyancy,68865,2,N/A,120904015,O.L.,UW,VISIONS2014:MJ03E,A,,7438,100%,,A,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00003,,,,SCIENCE POD FLOAT - CENTER,,Deep Water Bouyancy,68865,3,N/A,120904015,O.L.,UW,VISIONS2014:MJ03E,A,,7438,100%,,A,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00004,,,,"SCIENCE POD, FLOAT - CENTER",,Deep Water Bouyancy,68865,4,N/A,120904015,O.L.,UW,VISIONS2014:MJ03C,A,,7438,100%,,A,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00005,,,,"SCIENCE POD, FLOAT - CENTER",,Deep Water Bouyancy,68865,5,N/A,120904015,O.L.,UW,VISIONS2014:MJ03C,A,,7438,100%,,A,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00006,,,,"SCIENCE POD, FLOAT - CENTER",,Deep Water Bouyancy,68865,6,N/A,120904015,O.L.,UW,VISIONS2014:MJ03F,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00001,,,,Flotation Tech Science Pod Float - Top,,Deep Water Bouyancy,68866,1,N/A,120904015,O.L.,UW,VISIONS2014:MJ03F,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00002,,,,"SCIENCE POD, FLOAT - TOP",,Deep Water Bouyancy,68866,2,N/A,120904015,O.L.,UW,VISIONS2014:MJ03B,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00003,,,,"SCIENCE POD, FLOAT - TOP",,Deep Water Bouyancy,68866,3,N/A,120904015,O.L.,UW,VISIONS2014:MJ03B,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00004,,,,"SCIENCE POD, FLOAT - TOP",,Deep Water Bouyancy,68866,4,N/A,120904015,O.L.,UW,VISIONS2014:MJ03B,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00005,,,,"SCIENCE POD, FLOAT - TOP",,Deep Water Bouyancy,68866,5,N/A,120904015,O.L.,UW,VISIONS2014:MJ03B,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68866-00006,,,,"SCIENCE POD, FLOAT - TOP",,Deep Water Bouyancy,68866,6,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-001-0140,Platform,0,,MOORING RSN,1,,RS01SBPS-SF01A,SN0140,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-001-0142,Platform,0,,MOORING RSN,1,,RS03AXPS-SF03A,SN0142,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-001-0143,Platform,0,,MOORING RSN,1,,RS01SBPS-SF01A,SN0143,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-001-0145,Platform,0,,MOORING RSN,1,,RS03AXPS-SF03A,SN0145,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-002-0141,Platform,0,,MOORING ENDURANCE OS,1,WHOI,CE04OSPS-SF01B,SN0141,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68870-002-0144,Platform,0,,MOORING ENDURANCE OS,1,WHOI,CE04OSPS-SF01B,SN0144,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00001,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,1,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00002,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,2,N/A,130810001,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00003,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,3,N/A,130810001,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00004,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,4,N/A,131217024,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00005,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,5,N/A,131217024,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68871-00006,,,,"SCIP HOUSING, PRESSURE CYLINDER",,APL/UW,68871,6,N/A,131217024,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68872-00001,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,1,N/A,131217024,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68872-00002,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,2,N/A,111213012,O.L.,UW,SP:HEO1:P1,A,20120229,32078,100%,,20120229,UW,N/A,,,,,,
ATAPL-68872-00003,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,3,N/A,111213012,O.L.,UW,SP:HEO1:P2,A,20120305,32078,100%,,20120305,UW,N/A,,,,,,
